procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 5627152  76380 2164796    0    0     0     4  316   62 25  0 75  0  0
 1  0      0 5627152  76380 2164796    0    0     0     0  300   58 25  0 75  0  0
 1  0      0 5627152  76380 2164796    0    0     0     0  318   73 25  0 75  0  0
 1  0      0 5668020  76380 2164796    0    0     0     0  320   81 25  0 75  0  0
 1  0      0 5633440  76384 2164792    0    0     0    12  315   77 23  2 75  0  0
 1  0      0 5632820  76384 2164796    0    0     0     0  309   68 23  2 75  0  0
 1  0      0 5632820  76384 2164796    0    0     0     4  312   59 24  1 75  0  0
 1  0      0 5632568  76384 2164796    0    0     0     0  324   82 25  0 75  0  0
 1  0      0 5632568  76384 2164796    0    0     0     0  302   57 25  0 75  0  0
 1  0      0 5632568  76388 2164796    0    0     0    12  309   76 25  0 75  0  0
 1  0      0 5632568  76388 2164796    0    0     0     0  305   62 25  0 75  0  0
 1  0      0 5632568  76388 2164796    0    0     0     0  316   66 25  0 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 5632568  76388 2164796    0    0     0     4  321   70 25  0 75  0  0
 1  0      0 5632568  76388 2164796    0    0     0     0  303   57 25  0 75  0  0
 1  0      0 5632568  76392 2164796    0    0     0    12  313   74 25  0 75  0  0
 2  0      0 5632568  76392 2164796    0    0     0     0  319   78 25  0 75  0  0
 1  0      0 5632568  76392 2164796    0    0     0     0  306   60 25  0 75  0  0
 1  0      0 5632568  76392 2164800    0    0     0     0  303   59 25  0 75  0  0
 1  0      0 5632568  76392 2164800    0    0     0     8  324   74 25  0 75  0  0
 1  0      0 5632568  76392 2164800    0    0     0    20  322   90 25  0 75  0  0
 1  0      0 5632568  76392 2164800    0    0     0     0  307   60 25  0 75  0  0
 1  0      0 5632568  76392 2164800    0    0     0     0  296   50 25  0 75  0  0
 1  0      0 5632568  76392 2164800    0    0     0     0  300   58 25  0 75  0  0
 1  0      0 5632568  76392 2164800    0    0     0     0  305   65 25  0 75  0  0
 1  0      0 5632568  76396 2164800    0    0     0    24  316   76 25  0 75  0  0
 1  0      0 5632568  76396 2164800    0    0     0     0  306   63 25  0 75  0  0
 1  0      0 5632568  76396 2164800    0    0     0     0  300   54 25  0 75  0  0
 1  0      0 5632568  76396 2164800    0    0     0     0  330   76 25  0 75  0  0
 1  0      0 5632568  76396 2164800    0    0     0     0  304   56 25  0 75  0  0
 1  0      0 5632568  76404 2164800    0    0     0    12  312   73 25  0 75  0  0
 1  0      0 5632568  76404 2164800    0    0     0     4  313   63 25  0 75  0  0
 1  0      0 5632568  76404 2164800    0    0     0     0  315   72 25  0 75  0  0
 1  0      0 5632568  76404 2164800    0    0     0     0  316   61 25  0 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 5673688  76408 2164796    0    0     0    12  321   73 25  1 75  0  0
 1  0      0 5638980  76408 2164800    0    0     0     0  320   72 23  2 75  0  0
 1  0      0 5637468  76408 2164800    0    0     0     0  309   71 24  1 75  0  0
 1  0      0 5637468  76408 2164800    0    0     0     4  318   65 24  1 75  0  0
 1  0      0 5637468  76408 2164800    0    0     0     0  313   69 25  1 75  0  0
 1  0      0 5636712  76408 2164800    0    0     0     0  306   56 25  0 75  0  0
 1  0      0 5636712  76412 2164800    0    0     0    12  317   80 25  0 75  0  0
 1  0      0 5636712  76412 2164800    0    0     0     0  300   60 25  0 75  0  0
 1  0      0 5636712  76412 2164800    0    0     0     0  295   50 25  0 75  0  0
