procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 5743812  61180 2064928    0    0     0    20  325   83 25  0 75  0  0
 1  0      0 5743812  61188 2064928    0    0     0    12  334   90 25  0 75  0  0
 1  0      0 5743812  61188 2064928    0    0     0     0  321   74 25  0 75  0  0
 1  0      0 5743812  61188 2064928    0    0     0     0  305   69 25  0 75  0  0
 1  0      0 5743812  61188 2064928    0    0     0     0  310   75 25  0 75  0  0
 1  0      0 5743784  61188 2064928    0    0     0     0  310   74 25  0 75  0  0
 1  0      0 5743784  61188 2064928    0    0     0     4  336   89 25  0 75  0  0
 1  0      0 5743836  61192 2064928    0    0     0    12  319   84 25  0 75  0  0
 1  0      0 5743836  61192 2064928    0    0     0     0  310   71 25  0 75  0  0
 1  0      0 5743836  61192 2064928    0    0     0     0  314   75 25  0 75  0  0
 1  0      0 5743836  61192 2064928    0    0     0     0  309   73 25  0 75  0  0
 1  0      0 5743836  61192 2064928    0    0     0     0  308   81 25  0 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 5743836  61200 2064920    0    0     0    16  334  100 25  0 74  1  0
 1  0      0 5743836  61200 2064928    0    0     0     0  317   81 25  0 75  0  0
 1  0      0 5743836  61200 2064928    0    0     0     0  308   71 25  0 75  0  0
 1  0      0 5743836  61200 2064928    0    0     0     0  310   67 25  0 75  0  0
 1  0      0 5743836  61200 2064928    0    0     0     0  305   75 25  0 75  0  0
 1  0      0 5743836  61204 2064932    0    0     0    16  332  100 25  0 75  0  0
 1  0      0 5743836  61204 2064932    0    0     0     8  328   77 25  0 75  0  0
 1  0      0 5743836  61204 2064932    0    0     0     0  322   81 25  0 75  0  0
 1  0      0 5743836  61204 2064932    0    0     0     0  312   74 25  0 75  0  0
 1  0      0 5743836  61204 2064932    0    0     0     0  327   94 25  0 75  0  0
 1  0      0 5743836  61212 2064924    0    0     0    20  328   92 25  0 75  0  0
 1  0      0 5743836  61212 2064932    0    0     0     0  312   74 25  0 75  0  0
 1  0      0 5743836  61212 2064932    0    0     0     4  330   90 25  0 75  0  0
 1  0      0 5743836  61212 2064932    0    0     0     0  306   66 25  0 75  0  0
 1  0      0 5743836  61212 2064932    0    0     0     0  308   67 25  0 75  0  0
 1  0      0 5743836  61216 2064932    0    0     0    12  323   92 25  0 75  0  0
 1  0      0 5743836  61216 2064932    0    0     0     0  322   81 25  0 75  0  0
 1  0      0 5743836  61216 2064932    0    0     0     0  313   74 25  0 75  0  0
 1  0      0 5743836  61216 2064932    0    0     0     4  314   67 25  0 75  0  0
 1  0      0 5743836  61216 2064932    0    0     0    12  320   81 25  0 75  0  0
 1  0      0 5743836  61220 2064932    0    0     0    12  338  115 25  0 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 5743836  61220 2064932    0    0     0     0  306   68 25  0 75  0  0
 1  0      0 5743836  61220 2064932    0    0     0     0  311   73 25  0 75  0  0
 1  0      0 5752152  61220 2064932    0    0     0     0  334   89 24  1 75  0  0
 1  0      0 5752152  61220 2064932    0    0     0     4  322   85 25  0 75  0  0
 1  0      0 5752152  61224 2064932    0    0     0    12  320   90 25  0 75  0  0
 1  0      0 5752152  61224 2064932    0    0     0     0  303   70 25  0 75  0  0
 1  0      0 5751928  61224 2064932    0    0     0     0  314   76 25  0 75  0  0
 1  0      0 5751928  61224 2064932    0    0     0     0  322   91 25  0 75  0  0
 1  0      0 5751928  61224 2064932    0    0     0     0  314   70 25  0 75  0  0
 1  0      0 5751928  61232 2064932    0    0     0    16  321   96 25  0 75  0  0
 1  0      0 5751928  61232 2064932    0    0     0     0  316   80 25  0 75  0  0
 1  0      0 5751928  61232 2064932    0    0     0     0  319   87 25  0 75  0  0
 1  0      0 5751928  61232 2064932    0    0     0     0  310   69 25  0 75  0  0
 1  0      0 5751928  61232 2064932    0    0     0     0  313   65 25  0 75  0  0
 1  0      0 5751676  61240 2064924    0    0     0    12  314   84 25  0 75  0  0
 1  0      0 5751676  61240 2064932    0    0     0     4  324   78 25  0 75  0  0
