procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5264364  82316 2546636    0    0     0     0  178  165  8  0 93  0  0
 0  0      0 5264364  82316 2546636    0    0     0     0  195  190  8  0 92  0  0
 0  0      0 5264364  82324 2546636    0    0     0    44  192  179  8  0 92  0  0
 0  0      0 5264364  82324 2546636    0    0     0     0  190  189  8  0 92  0  0
 0  0      0 5264364  82324 2546636    0    0     0     0  174  155  8  0 92  0  0
 0  0      0 5264364  82324 2546636    0    0     0     4  190  182  8  0 92  0  0
 0  0      0 5264364  82324 2546636    0    0     0     0  181  151  8  0 92  0  0
 0  0      0 5264364  82324 2546636    0    0     0     0  170  140  8  0 92  0  0
 0  0      0 5264364  82328 2546632    0    0     0    12  195  169  8  0 92  0  0
 0  0      0 5264364  82328 2546636    0    0     0     0  179  157  8  0 92  0  0
 1  0      0 5264364  82328 2546636    0    0     0     0  177  146  8  0 92  0  0
 1  0      0 5264364  82328 2546636    0    0     0     4  189  165  8  0 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 5264364  82328 2546636    0    0     0     0  181  146  8  0 92  0  0
 1  0      0 5264364  82328 2546636    0    0     0     0  176  152  8  0 92  0  0
 1  0      0 5264364  82328 2546636    0    0     0    12  173  141  8  0 92  0  0
 1  0      0 5264364  82328 2546636    0    0     0     0  170  133  8  0 92  0  0
 1  0      0 5264364  82328 2546636    0    0     0     0  159  111  8  0 92  0  0
 1  0      0 5264364  82328 2546640    0    0     0     8  185  132  8  0 92  0  0
 1  0      0 5264364  82328 2546640    0    0     0     0  169  129  8  0 92  0  0
 1  0      0 5264364  82328 2546640    0    0     0     0  167  119  8  0 92  0  0
 1  0      0 5264364  82336 2546632    0    0     0    20  181  128  9  0 91  0  0
 1  0      0 5264364  82336 2546640    0    0     0     0  174  113  9  0 91  0  0
 1  0      0 5264364  82336 2546640    0    0     0     0  171  123  9  0 91  0  0
 1  0      0 5264364  82336 2546640    0    0     0     4  196  139  9  0 91  0  0
 1  0      0 5264364  82336 2546640    0    0     0     0  177  119  9  0 91  0  0
 1  0      0 5264364  82336 2546640    0    0     0     0  164   95  9  0 91  0  0
 1  0      0 5264364  82340 2546636    0    0     0    12  185  122  9  0 91  0  0
 1  0      0 5264364  82340 2546640    0    0     0     0  174  107  9  0 91  0  0
 1  0      0 5264364  82340 2546640    0    0     0    32  188  121  9  0 91  0  0
 1  0      0 5264364  82340 2546640    0    0     0     4  176  103  9  0 91  0  0
 1  0      0 5264364  82340 2546640    0    0     0     0  179  107  9  0 91  0  0
 1  0      0 5264364  82340 2546640    0    0     0     0  194  125  9  0 91  0  0
 1  0      0 5264364  82348 2546632    0    0     0    12  183  126  9  0 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 5264364  82348 2546640    0    0     0     0  164   97  9  0 91  0  0
 1  0      0 5264364  82348 2546640    0    0     0     0  171   99 10  0 91  0  0
 1  0      0 5264364  82348 2546640    0    0     0     4  187  115 10  0 90  0  0
 1  0      0 5264364  82348 2546640    0    0     0     0  171   91 10  0 90  0  0
 1  0      0 5264364  82348 2546640    0    0     0     0  168   90 10  0 90  0  0
 1  0      0 5264364  82356 2546632    0    0     0    12  167   91 10  0 90  0  0
 1  0      0 5264364  82356 2546640    0    0     0     0  171   83 10  0 90  0  0
 1  0      0 5264364  82356 2546640    0    0     0     0  175   84 10  0 90  0  0
 1  0      0 5264364  82356 2546640    0    0     0     4  177   81 10  0 90  0  0
 1  0      0 5264364  82356 2546640    0    0     0     0  171   85 10  0 90  0  0
 1  0      0 5264364  82356 2546640    0    0     0     0  166   82 10  0 90  0  0
 1  0      0 5264364  82360 2546636    0    0     0    12  172   92 10  0 90  0  0
 1  0      0 5264364  82360 2546640    0    0     0     0  163   74 10  0 90  0  0
 1  0      0 5264364  82360 2546640    0    0     0     0  155   73 10  0 90  0  0
 1  0      0 5264364  82360 2546640    0    0     0     4  181   94 10  0 90  0  0
 1  0      0 5264364  82360 2546640    0    0     0     0  163   75 10  0 90  0  0
 1  0      0 5264364  82360 2546640    0    0     0     0  161   80 10  0 90  0  0
 1  0      0 5264364  82364 2546640    0    0     0    12  168   94 10  0 90  0  0
 1  0      0 5264364  82364 2546640    0    0     0     0  170   91 10  0 90  0  0
 1  0      0 5264364  82364 2546640    0    0     0     0  172   87 10  0 90  0  0
 1  0      0 5264364  82364 2546640    0    0     0     4  166   82 10  0 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 5264364  82364 2546640    0    0     0     0  157   75 10  0 90  0  0
 1  0      0 5264364  82364 2546640    0    0     0     0  166   94 10  0 90  0  0
 1  0      0 5264364  82372 2546632    0    0     0    12  177   97 10  0 90  0  0
 1  0      0 5264364  82372 2546640    0    0     0     0  171   89 10  0 90  0  0
